feature,importance
FunctionalAssessment,0.2008296199759376
ADL,0.17572029584608417
MMSE,0.1256919166418108
MemoryComplaints,0.07990586259480405
BehavioralProblems,0.04544911770952776
PhysicalActivity,0.02990434319287529
SleepQuality,0.027634064122993407
DietQuality,0.027454437298466867
CholesterolTriglycerides,0.027437015202091703
CholesterolTotal,0.027143607224591113
BMI,0.026888751303370213
AlcoholConsumption,0.026654069546599848
CholesterolLDL,0.026605548659023953
CholesterolHDL,0.026100336683088567
SystolicBP,0.023688995422443293
Age,0.02190362145999565
DiastolicBP,0.02090218829152375
Ethnicity_1,0.005046242210573164
Gender_1,0.004759985521790562
EducationLevel_2,0.003928704828918987
Depression,0.003917357938890229
EducationLevel_1,0.0037100006560581702
EducationLevel_3,0.0033487404765147498
Hypertension,0.003253964104767301
Smoking,0.0030932162326113835
DifficultyCompletingTasks,0.0029088675064717915
Forgetfulness,0.0028940161513133036
Diabetes,0.0028349998274232856
Disorientation,0.002770272561461216
FamilyHistoryAlzheimers,0.0027065372527186457
HeadInjury,0.0027041591995187026
Confusion,0.002699209099093536
Ethnicity_2,0.0024012396336458484
CardiovascularDisease,0.002379350479237201
PersonalityChanges,0.002365418227915075
Ethnicity_3,0.0023639269158488687
